MODELO;MATERIAL;COLOR;ITEM;VENDEDOR;CJS; PRECIOVENTA ; UNITARIO ;33;34;35;36;37;38;39;40;41; PARES ; TOTAL ; ESTADO 
4136.102;CAMURCA FLEX/METALIZADO GLAMOUR;MARINO/ORO;CBMC/MC;;1;163;14;;2;3;4;2;1;;;;12; 163,00   ;0
4136.102;CAMURCA FLEX/METALIZADO GLAMOUR;NEGRO/ORO;CBMC/MC;;1;163;14;;2;3;4;2;1;;;;12; 163,00   ;0
8226.431;CAM FLEX/MET COL/CAM FLEX;CREME 527/DOURADO/CREME 527/DOURADO;CBMC/MC;;1;245;20;;2;3;4;2;1;;;;12; 245,00   ;0
8226.431;CAM FLEX/MET COL/CAM FLEX;MARINO/DORADO/MARINO;CBMC/MC;;1;245;20;;2;3;4;2;1;;;;12; 245,00   ;0
8226.431;CAM FLEX/MET COL/CAM FLEX;NEGRO/ORO;CBMC/MC;;1;245;20;;2;3;4;2;1;;;;12; 245,00   ;0
4047.852;CAMURCA FLEX;MARINO;CBNC/OF;;1;185;15;1;2;3;3;2;1;;;;12; 185,00   ;0
4047.852;CAMURCA FLEX;NEGRO 01;CBNC/OF;;1;185;15;1;2;3;3;2;1;;;;12; 185,00   ;0
4047.852;CAMURCA FLEX;VINO;CBNC/OF;;1;185;15;1;2;3;3;2;1;;;;12; 185,00   ;0
4071.900;CAMURCA FLEX;BEIGE;CBNC/OF;;1;136;11;1;2;3;3;2;1;;;;12; 136,00   ;0
4071.900;CAMURCA FLEX;NEGRO 01;CBNC/OF;;1;136;11;1;2;3;3;2;1;;;;12; 136,00   ;0
