MODELO;MATERIAL;COLOR;ITEM;VENDEDOR;CJS;PRECIO VENTA;UNITARIO;33;34;35;36;37;38;39;40;41;42;PARES;TOTAL;ESTADO;
5094.357;CAMURCA FL/CACHAREL SOFT;AZUL;CBMC/MC;-;1;0;0;;2;3;4;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;MARINO;CBMC/MC;-;1;0;0;;2;3;4;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;NEGRO 01;CBMC/MC;-;1;0;0;;2;3;4;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;NEGRO 01;CBMC/MC;-;1;0;0;;2;3;4;2;1;;;;;12;0;0;
5196.328;NAPA SARDENHA NEO/VERNIZ FRESH NEO;BLANCO/MARINO/ROJO;CBMC/MC;-;1;0;0;1;3;3;2;2;1;;;;;12;0;0;
5196.328;NAPA SARDENHA NEO/VERNIZ FRESH NEO;BLANCO/MARINO/ROJO;CBMC/MC;-;1;0;0;;2;3;4;2;1;;;;;12;0;0;
5094.350;CAMURCA FL/VOAL SEDA/CAC SOFT PLUS;MORADO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.350;CAMURCA FL/VOAL SEDA/CAC SOFT PLUS;MORADO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.350;CAMURCA FL/VOAL SEDA/CAC SOFT PLUS;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.350;CAMURCA FL/VOAL SEDA/CAC SOFT PLUS;ROJO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.350;TECIDO MARROCOS/VOAL SEDA;MULTI NEGRO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.357;TECIDO MARROCOS;MULTI NEGRO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;AZUL;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.357;CAMURCA FL/CACHAREL SOFT;VIOLETA 546;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.376;CAMURCA FL/CACHAREL SOFT;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.376;CAMURCA FL/CACHAREL SOFT;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.376;CAMURCA FL/CACHAREL SOFT;ROJO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.382;CAMURCA FLEX/CETIM;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.382;CAMURCA FLEX/CETIM;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5094.382;CAMURCA FLEX/CETIM;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5105.836;CAMURCA FLEX;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5105.836;CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5105.836;CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5105.836;CAMURCA FLEX;TELLA;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.309;CAMURCA FLEX;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.309;CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;CORAL;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;MARINO;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5196.323;CAMURCA FLEX/CAMURCA FLEX;VIOLETA 546;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5221.504;CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5221.504;CAMURCA FLEX;NEGRO 01;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
5221.604;CAMURCA FLEX;CORAL;CBNR/OF;-;1;0;0;1;2;3;3;2;1;;;;;12;0;0;
